Quote,Character,Anime
"People's lives don't end when they die, it ends when they lose faith.",Itachi Uchiha,Naruto
"If you don't take risks, you can't create a future!",Monkey D Luffy,One Piece
"If you don't like your destiny, don't accept it.",Naruto Uzumaki,Naruto
"When you give up, that's when the game ends.",Mitsuyoshi Anzai,Slam Dunk
"All we can do is live until the day we die. Control what we can, and fly free.",Deneil Young,Uchuu Kyoudai or Space Brothers
"Forgetting is like a wound. The wound may heal, but it has already left a scar.",Monkey D Luffy,One Piece
It's just pathetic to give up on something before you even give it a shot.”,Reiko Mikami,Another
"If you don't share someone's pain, you can never understand them.",Nagato,Naruto
"Whatever you lose, you'll find it again. But what you throw away you'll never get back.",Himura Kenshin,Rurouni Kenshin
We don't have to know what tomorrow holds! That's why we can live for everything we're worth today!”,Natsu Dragneel,Fairy Tail
Why should I apologize for being a monster? Has anyone ever apologized for turning me into one?,Juuzou Suzuya,Tokyo Ghoul
People become stronger because they have memories they can't forget.,Tsunade,Naruto
I'll leave tomorrow's problems to tomorrow's me.,Saitama,One Punch Man
"If you want to make people dream, you've got to start by believing in that dream yourself!",Seiya Kanie,Amagi Brilliant Park
Being lonely is more painful than getting hurt.,Monkey D Luffy,One Piece
There's no shame in falling down! The true shame is to not stand up again!,Shintar Midorima,Kuroko No Basket
Simplicity is the easiest path to true beauty.,Seishuu Handa,Barakamon
"If you can't do something, then don't. Focus on what you can.",Shiroe,Log Horizon
"Giving up kills people. When people reject giving up, they finally win the right to transcend humanity.",Alucard,Hellsing
"You can die anytime, but living takes true courage. ”",Kenshin Himura,Rurouni Kenshin: Meiji Kenkaku Romantan
Every journey begins with a single step. We just have to have patience.,Milly Thompson,Trigun
It doesn't do any good to pretend you can't see what's going on.,Yuuya Mochizuki,Another
Being weak is nothing to be ashamed of; staying weak is!,Fuegoleon Vermillion,Black Clover
Acting is not necessarily compassion. True compassion sometimes comes from inaction.,Hinata Miyake,A Place Further than the Universe
A dropout will beat a genius through hard work.,Rock Lee,Naruto
Reject common sense to make the impossible possible.,Simon,Tengen Toppa Gurren Lagann
"Whatever you lose, you'll find it again. But what you throw away, you'll never get back.",Kenshin Himura,Rurouni Kenshin: Meiji Kenkaku Romantan
"If you really want to be strong, stop caring about what your surroundings think of you!",Saitama,One Punch Man
Vision is not what your eyes see but an image that your brain comprehends.,Touko Aozaki,The Garden of Sinners Kara no Ky kai
